id,area_m2,eave_height_m,ridge_height_m,mid_height_m,roof_relief_m,roof_elev_m,ground_elev_m,roof_std_m,world_height_m,height_minfilter_m,estimator_gap_m,confidence,caveat,ground_visible_fraction,ground_area_m2,veg_fraction_in_roof,utm_easting,utm_northing
bk_001,802.6,19.7,21.97,19.77,2.27,97.54,77.77,0.59,19.77,19.93,0.16,high,,0.32,1086.1,0.0,681529.47,1191641.88
bk_002,844.0,20.81,22.22,21.27,1.41,98.93,77.66,0.62,21.27,21.6,0.33,high,,0.315,1074.9,0.001,681546.62,1191611.53
bk_003,210.5,7.0,7.72,7.22,0.71,84.95,77.73,0.36,7.22,7.7,0.47,high,little visible ground nearby,0.13,505.2,0.017,681452.66,1191592.72
bk_004,1230.6,11.46,12.66,11.92,1.21,89.59,77.67,0.54,11.92,12.46,0.53,medium,little visible ground nearby,0.138,720.8,0.001,681444.23,1191579.08
bk_005,363.6,7.32,7.78,7.4,0.46,84.89,77.49,0.17,7.4,7.81,0.41,high,little visible ground nearby,0.105,525.9,0.0,681447.23,1191571.57
bk_006,1254.9,11.79,13.08,12.24,1.28,89.42,77.19,0.56,12.24,12.42,0.18,high,,0.227,1183.2,0.0,681452.08,1191564.97
bk_007,4632.7,6.28,9.53,8.37,3.25,85.49,77.13,1.51,8.37,8.5,0.13,medium,"multi-level roof, should be split",0.356,2915.1,0.002,681571.6,1191537.45
bk_008,1336.8,4.24,7.68,5.02,3.43,82.15,77.13,1.35,5.02,5.08,0.06,medium,"little visible ground nearby; multi-level roof, should be split",0.177,1235.9,0.019,681419.47,1191546.73
bk_009,126.3,4.62,8.15,5.97,3.54,83.15,77.18,1.55,5.97,6.11,0.13,medium,"multi-level roof, should be split",0.366,675.1,0.001,681518.23,1191572.23
bk_010,267.9,5.13,6.96,5.73,1.83,82.97,77.25,0.73,5.73,6.15,0.42,high,,0.26,647.6,0.002,681565.44,1191526.16
bk_011,2820.3,5.26,8.3,5.91,3.05,82.82,76.91,1.33,5.91,5.92,0.01,medium,"multi-level roof, should be split",0.281,1699.7,0.002,681380.38,1191497.37
bk_012,1161.9,4.35,5.17,4.72,0.83,81.86,77.13,0.54,4.72,4.96,0.24,high,little visible ground nearby,0.143,534.0,0.009,681618.64,1191493.81
bk_013,256.0,7.76,8.73,8.09,0.97,84.88,76.79,0.4,8.09,8.22,0.13,high,,0.384,807.8,0.0,681433.68,1191493.55
bk_014,634.4,11.65,12.29,11.78,0.65,88.79,77.02,0.25,11.78,12.16,0.39,high,little visible ground nearby,0.154,537.8,0.008,681620.9,1191469.45
bk_015,348.1,3.0,4.31,3.12,1.31,79.79,76.66,0.52,3.12,3.29,0.16,high,little visible ground nearby,0.098,309.0,0.007,681572.55,1191455.81
bk_016,758.3,12.79,13.39,13.05,0.59,89.82,76.78,0.28,13.05,13.23,0.18,high,,0.276,1031.8,0.0,681410.37,1191458.98
bk_017,488.5,11.8,12.28,12.07,0.48,88.52,76.44,0.26,12.07,12.15,0.08,high,little visible ground nearby,0.194,555.9,0.007,681542.83,1191457.76
bk_018,98.5,3.16,4.17,3.48,1.01,80.2,76.72,0.41,3.48,3.71,0.23,high,little visible ground nearby,0.195,372.8,0.097,681587.26,1191458.69
bk_019,788.2,18.77,19.76,19.15,0.99,95.58,76.43,0.47,19.15,19.28,0.13,high,,0.341,1052.2,0.001,681504.15,1191430.64
bk_020,453.0,11.93,12.46,12.05,0.53,88.48,76.43,0.25,12.05,12.17,0.12,high,,0.298,848.1,0.008,681556.87,1191433.77
bk_021,373.9,11.45,12.32,11.79,0.88,88.82,77.03,0.51,11.79,12.01,0.22,high,little visible ground nearby,0.188,432.9,0.001,681360.76,1191433.15
bk_022,1591.7,13.77,16.22,14.39,2.45,90.86,76.47,1.05,14.39,14.49,0.1,high,,0.458,1687.1,0.003,681472.76,1191412.98
bk_023,580.1,8.08,8.7,8.39,0.62,84.98,76.59,1.24,8.39,8.5,0.11,high,little visible ground nearby,0.193,542.3,0.008,681591.95,1191421.55
bk_024,98.2,3.34,4.03,3.55,0.7,80.6,77.04,0.29,3.55,4.05,0.5,high,little visible ground nearby,0.098,174.9,0.173,681624.89,1191423.36
bk_025,173.0,3.43,4.21,3.72,0.79,80.47,76.75,0.35,3.72,3.84,0.12,high,little visible ground nearby,0.072,167.8,0.078,681608.82,1191400.7
bk_026,1018.4,23.68,26.62,24.0,2.94,100.75,76.75,0.8,24.0,24.06,0.06,high,,0.324,1248.1,0.0,681367.42,1191387.5
bk_027,626.6,9.49,10.82,9.86,1.33,86.3,76.44,0.63,9.86,10.02,0.16,high,,0.509,1386.1,0.007,681524.54,1191383.48
bk_028,358.5,3.03,4.48,3.23,1.45,79.72,76.49,0.57,3.23,3.41,0.18,high,little visible ground nearby,0.177,456.9,0.048,681581.72,1191375.59
bk_029,488.2,3.7,5.71,4.46,2.01,81.5,77.04,0.83,4.46,4.6,0.14,high,little visible ground nearby,0.104,306.6,0.008,681334.36,1191338.3
bk_030,402.7,11.58,12.06,11.73,0.48,88.2,76.47,0.22,11.73,11.88,0.15,high,,0.359,1057.9,0.001,681524.18,1191339.56
bk_031,100.9,23.01,23.72,23.28,0.72,99.75,76.47,0.58,23.28,23.67,0.39,high,,0.227,414.6,0.617,681572.89,1191337.97
bk_032,97.8,3.79,4.59,4.06,0.8,80.5,76.44,0.38,4.06,4.27,0.21,high,little visible ground nearby,0.168,326.1,0.048,681558.07,1191334.95
bk_033,3041.8,4.18,9.97,4.9,5.79,81.44,76.54,2.25,4.9,4.83,0.06,medium,"multi-level roof, should be split",0.212,1640.2,0.06,681464.1,1191262.66
bk_034,172.8,13.55,17.94,14.63,4.39,91.33,76.7,1.85,14.63,15.02,0.39,medium,"multi-level roof, should be split",0.223,470.6,0.012,681571.97,1191284.27
bk_035,145.5,12.45,14.39,12.95,1.94,89.69,76.74,0.7,12.95,13.34,0.39,high,,0.273,515.1,0.005,681547.95,1191276.17
bk_036,846.1,15.27,15.97,15.55,0.71,92.25,76.7,0.36,15.55,15.58,0.03,high,,0.251,886.9,0.0,681408.08,1191246.65
bk_037,266.2,4.61,8.12,6.35,3.52,83.11,76.76,1.54,6.35,6.46,0.11,medium,"multi-level roof, should be split",0.226,575.5,0.027,681544.56,1191255.57
bk_038,96.5,16.41,16.74,16.54,0.32,93.43,76.89,0.17,16.54,16.89,0.35,high,,0.277,478.1,0.001,681547.54,1191263.18
bk_039,2784.8,4.35,10.8,5.03,6.45,81.84,76.8,2.46,5.03,5.1,0.06,low,"little visible ground nearby; multi-level roof, should be split",0.05,286.2,0.01,681504.38,1191215.74
bk_040,96.6,4.19,5.15,4.43,0.95,81.55,77.12,0.37,4.43,4.61,0.17,high,little visible ground nearby,0.166,296.4,0.039,681367.77,1191246.82
