id,utm_easting,utm_northing,canopy_top_m,canopy_radius_m,provenance
tree_001,681524.39,1191664.4,23.89,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_002,681524.14,1191664.15,23.88,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_003,681524.39,1191664.15,23.87,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_004,681534.89,1191660.9,9.99,5.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_005,681529.64,1191657.15,10.9,5.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_006,681511.64,1191654.9,21.35,4.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_007,681511.64,1191654.65,15.64,4.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_008,681511.89,1191654.4,12.41,4.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_009,681515.14,1191649.15,10.22,5.7,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_010,681494.64,1191638.9,18.91,6.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_011,681494.64,1191638.65,18.91,6.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_012,681553.89,1191630.4,19.19,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_013,681545.64,1191626.15,21.26,5.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_014,681493.64,1191622.4,17.58,7.7,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_015,681493.89,1191622.4,17.58,7.7,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_016,681535.64,1191621.15,18.97,5.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_017,681470.64,1191617.15,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_018,681470.89,1191617.15,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_019,681471.14,1191617.15,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_020,681471.39,1191617.15,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_021,681471.64,1191617.15,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_022,681470.64,1191616.9,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_023,681470.89,1191616.9,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_024,681471.14,1191616.9,14.14,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_025,681591.14,1191614.9,14.41,7.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_026,681520.64,1191614.15,19.46,4.96,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_027,681580.14,1191612.4,17.42,7.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_028,681582.89,1191611.9,17.31,7.2,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_029,681514.89,1191610.9,20.53,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_030,681466.89,1191609.15,7.42,2.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_031,681468.39,1191606.4,7.73,2.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_032,681554.89,1191602.9,20.55,4.83,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_033,681449.89,1191599.9,17.0,5.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_034,681546.14,1191598.4,20.5,4.07,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_035,681560.89,1191598.4,17.75,4.04,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_036,681571.39,1191598.4,16.42,5.06,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_037,681545.64,1191598.15,20.52,4.07,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_038,681545.89,1191598.15,20.5,4.07,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_039,681545.39,1191597.9,20.52,4.07,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_040,681596.39,1191595.4,8.79,3.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_041,681561.64,1191592.65,18.08,5.55,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_042,681539.39,1191591.15,17.04,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_043,681552.14,1191587.9,18.25,5.52,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_044,681525.89,1191585.15,15.96,5.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_045,681525.89,1191584.9,16.3,5.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_046,681543.39,1191579.15,16.47,7.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_047,681543.39,1191578.9,16.1,7.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_048,681533.89,1191575.15,20.24,7.08,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_049,681608.14,1191574.4,10.43,3.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_050,681505.64,1191569.65,14.54,4.28,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_051,681506.14,1191569.4,14.54,4.28,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_052,681592.64,1191565.15,7.55,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_053,681592.64,1191564.9,7.51,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_054,681612.89,1191564.9,9.91,4.16,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_055,681580.39,1191558.15,8.89,4.16,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_056,681484.14,1191557.9,13.95,1.9,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_057,681488.89,1191557.15,13.72,1.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_058,681489.14,1191557.15,13.63,1.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_059,681623.14,1191543.15,14.64,3.64,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_060,681457.64,1191542.15,17.69,5.81,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_061,681567.89,1191541.4,16.35,8.73,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_062,681447.64,1191537.65,18.24,6.39,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_063,681444.14,1191534.65,17.89,6.05,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_064,681442.64,1191529.4,17.08,6.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_065,681546.89,1191527.65,10.35,2.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_066,681417.89,1191526.65,9.0,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_067,681429.89,1191525.15,5.49,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_068,681430.14,1191525.15,5.47,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_069,681448.39,1191522.9,16.55,6.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_070,681420.64,1191521.4,9.51,3.34,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_071,681550.89,1191520.9,10.53,3.4,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_072,681551.14,1191520.4,10.53,3.4,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_073,681552.14,1191518.65,10.51,3.4,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_074,681491.14,1191516.65,12.14,4.47,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_075,681491.39,1191516.65,12.14,4.47,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_076,681392.39,1191516.15,10.75,3.48,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_077,681454.64,1191516.15,13.71,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_078,681454.89,1191516.15,13.56,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_079,681454.89,1191515.9,13.36,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_080,681476.14,1191514.4,8.62,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_081,681426.39,1191513.15,9.57,3.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_082,681448.64,1191512.4,10.77,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_083,681383.39,1191509.4,9.3,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_084,681504.39,1191507.65,6.05,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_085,681504.39,1191507.4,6.05,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_086,681451.64,1191503.4,6.25,2.66,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_087,681481.39,1191502.9,5.67,1.9,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_088,681481.64,1191502.9,5.67,1.9,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_089,681526.14,1191501.65,17.21,8.4,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_090,681372.14,1191501.15,16.71,4.1,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_091,681519.64,1191497.4,14.01,6.4,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_092,681458.64,1191493.15,7.85,2.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_093,681449.39,1191492.4,10.11,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_094,681487.89,1191492.4,6.83,1.68,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_095,681487.89,1191492.15,6.83,1.68,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_096,681500.89,1191491.65,12.9,3.69,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_097,681480.14,1191491.4,6.36,2.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_098,681539.64,1191490.15,16.46,4.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
